product_detail_id,product_id,product_name,product_price,product_stock,product_category,product_description,product_group_id
29,1029,"Wireless Earbuds",129.99,156,"Electronics","True wireless earbuds with advanced noise-cancelling technology and long-lasting battery life.",1
30,1030,"Robotic Lawn Mower",799.99,28,"Home Appliances","Fully autonomous robotic lawn mower with GPS-guided navigation and intelligent cutting algorithms.",6
31,1031,"Smart Garage Door Opener",149.99,61,"Home Automation","Wi-Fi-enabled smart garage door opener with remote access, scheduling, and integration with home automation systems.",1
32,1032,"Portable Power Station",299.99,42,"Outdoor & Camping","Compact and versatile power station with multiple output ports for charging devices during outdoor activities.",7
33,1033,"Smart Humidifier",99.99,83,"Home Appliances","Intelligent humidifier with humidity monitoring, automatic control, and connectivity to mobile apps.",6
34,1034,"Wireless Charging Pad for Multiple Devices",79.99,71,"Electronics","Wireless charging pad that can simultaneously charge multiple devices, such as smartphones, earbuds, and smartwatches.",1
35,1035,"Smart Smoke Detector",59.99,92,"Home Automation","Wi-Fi-connected smart smoke detector with advanced sensors and integration with home security systems.",1
36,1036,"Electric Skateboard",599.99,18,"Transportation","High-performance electric skateboard with powerful motors, long-range battery, and intuitive remote control.",7
37,1037,"Fitness Resistance Bands",29.99,135,"Sports & Outdoors","Set of versatile resistance bands for strength training, stretching, and home workouts.",7
38,1038,"Smart Plugs",24.99,178,"Home Automation","Wi-Fi-enabled smart plugs that allow remote control and scheduling of connected devices.",1
39,1039,"Portable Espresso Machine",149.99,54,"Home Appliances","Compact and portable espresso machine for making high-quality coffee on-the-go.",6
40,1040,"Smart Thermostat with Geofencing",149.99,79,"Home Automation","Advanced smart thermostat that automatically adjusts temperature based on user location and presence detection.",1
41,1041,"Wireless Charging Stand",49.99,102,"Electronics","Stylish wireless charging stand for convenient charging of smartphones and other compatible devices.",1
42,1042,"Smart Air Fryer",149.99,66,"Home Appliances","Intelligent air fryer with preset cooking modes, temperature and time control, and mobile app integration.",6
43,1043,"Robotic Pool Cleaner",499.99,32,"Home Appliances","Autonomous robotic pool cleaner that navigates and cleans pools efficiently with minimal effort.",6
44,1044,"Smart Home Security Camera",99.99,74,"Home Automation","Wi-Fi-enabled security camera with motion detection, night vision, and cloud storage for video recordings.",1
45,1045,"Fitness Smartwatch with GPS",199.99,58,"Wearables","Advanced smartwatch with built-in GPS, heart rate monitoring, and comprehensive fitness tracking features.",5
46,1046,"Wireless Charging Station for Multiple Devices",99.99,48,"Electronics","Wireless charging station that can simultaneously charge multiple devices, including smartphones, earbuds, and smartwatches.",1
47,1047,"Smart Irrigation Valve Controller",129.99,62,"Home Automation","Wi-Fi-enabled smart irrigation valve controller that optimizes water usage based on weather data and plant needs.",6
48,1048,"Fitness Resistance Tubes",19.99,93,"Sports & Outdoors","Set of versatile resistance tubes for strength training, stretching, and home workouts.",7
49,1049,"Smart Desk Lamp",59.99,71,"Home Automation","Intelligent desk lamp with adjustable brightness, color temperature, and integration with smart home systems.",1
50,1050,"Portable Power Bank with Fast Charging",49.99,84,"Electronics","High-capacity power bank with fast charging capabilities for convenient on-the-go charging of mobile devices.",1
